t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
23.19999999999999,9.016224576031059e-07,4.1343744117376284e-07,0.00020330714836180874,8.5910896396868e-07,0.00020303372945347246,-5.641977210991427e-11
23.23999999999998,8.653681535350062e-07,4.133520130694005e-07,0.00020348388666580064,8.598581522356596e-07,0.00020338688847782696,-5.6606727349037276e-11
23.25999999999999,9.03910244096653e-07,4.1443867555208724e-07,0.0002038373715844699,8.613565727344508e-07,0.00020356347214600467,-5.670031821009787e-11
23.299999999999983,8.823315081520064e-07,4.147296281934953e-07,0.00020410249254698698,8.624804266332831e-07,0.00020391664779560834,-5.688772639403135e-11
23.319999999999993,9.061982112906647e-07,4.1543958622977076e-07,0.00020436761974362838,8.636043133947169e-07,0.00020409323977757458,-5.698154370840887e-11
23.359999999999985,9.077236209037051e-07,4.1610667877389833e-07,0.0002047211323707998,8.651028791106796e-07,0.0002044464320570044,-5.716940476159728e-11
23.399999999999977,8.861615628193307e-07,4.16397454241181e-07,0.00020498627411758008,8.662268418113683e-07,0.0002047996354256521,-5.735756768567105e-11
23.439999999999998,8.876936839286827e-07,4.170643327629594e-07,0.00020533980614967362,8.677255096678493e-07,0.00020515284988546637,-5.754603244745942e-11
23.45999999999998,9.115374935593037e-07,4.1777378030092785e-07,0.00020560496245281001,8.688495487518821e-07,0.00020532946127523944,-5.764037800668039e-11
23.5,9.130631811731334e-07,4.18440369413869e-07,0.00020595851389604292,8.703483183047922e-07,0.0002056826923757917,-5.782929546191477e-11
23.539999999999992,8.768036160681846e-07,4.183549650802937e-07,0.000206135293777443,8.710977250636631e-07,0.00020603593457263174,-5.801851467059839e-11
23.559999999999974,9.153518605180104e-07,4.1943998204930594e-07,0.00020648886186336313,8.725965816580583e-07,0.00020621255983291337,-5.8113237422035356e-11
23.599999999999994,8.938227357519453e-07,4.197304055727319e-07,0.00020675404520975604,8.737207628506383e-07,0.00020656581867818582,-5.830290919882514e-11
23.639999999999986,8.953551404490032e-07,4.2039656263719944e-07,0.00020710763271747368,8.752197215855517e-07,0.0002069190886250024,-5.84928826459761e-11
23.659999999999997,8.961213644263501e-07,4.207295880699983e-07,0.00020728443063511293,8.759692229354243e-07,0.00020709572776210958,-5.85879824854559e-11
23.69999999999999,9.206928026228759e-07,4.217711511944364e-07,0.00020772643757016596,8.778430395928183e-07,0.00020744901436502305,-5.877840837502865e-11
23.73999999999998,8.844297942034379e-07,4.2168576300375717e-07,0.00020790324520358894,8.785925911247716e-07,0.0002078023120746059,-5.896913585119758e-11
23.75999999999999,9.229820714525204e-07,4.2276968374295275e-07,0.00020825686879888394,8.8009173815351e-07,0.00020797896509503524,-5.906461267389548e-11
23.799999999999983,9.245083488952902e-07,4.234351921930657e-07,0.00020861050350173826,8.815909438020242e-07,0.00020833227946839088,-5.925579246745112e-11
23.839999999999975,8.882436369361236e-07,4.233498116908368e-07,0.00020878732502094266,8.823405677205187e-07,0.00020868560495362258,-5.944727376418223e-11
23.859999999999985,9.037843784700577e-07,4.2405785865734004e-07,0.00020905256250536297,8.834650317979253e-07,0.0002088622718637922,-5.954312746565044e-11
23.899999999999977,9.053171512820632e-07,4.247230819993139e-07,0.00020940622220866345,8.849643680086672e-07,0.00020921561402050963,-5.973506095426132e-11
23.939999999999998,8.920579800684614e-07,4.250129631881302e-07,0.00020967147428052613,8.860889075812395e-07,0.00020956896729417993,-5.992729586211002e-11
23.95999999999998,9.306142380084802e-07,4.2609579023328834e-07,0.00021002515343671035,8.875883454884104e-07,0.0002097456481005009,-6.002352633783147e-11
24.0,9.321409048816658e-07,4.2676058144107534e-07,0.00021037884371111204,8.890878411271785e-07,0.0002100990180534585,-6.021621331239284e-11
24.039999999999992,9.106823008551033e-07,4.2705023268477997e-07,0.00021064411871307698,8.902125006038375e-07,0.0002104523991283777,-6.040920162234726e-11
24.059999999999974,9.344310499635178e-07,4.277574990226763e-07,0.00021090939997314706,8.91337192943098e-07,0.00021062909383729592,-6.050580876807091e-11
24.099999999999994,9.129818633557544e-07,4.280470451727467e-07,0.00021117468748954593,8.9246191814496e-07,0.00021098249159922372,-6.069924901941797e-11
24.139999999999986,9.145149749880042e-07,4.2871140767238513e-07,0.0002115284139128093,8.939616016334639e-07,0.0002113359004883849,-6.089299052328966e-11
24.159999999999997,9.152815523620418e-07,4.290435347945222e-07,0.0002117052812975473,8.947114653601318e-07,0.00021151260910632816,-6.098997423462579e-11
24.19999999999999,9.39775398998022e-07,4.300823841994255e-07,0.00021214746193010114,8.965861875154246e-07,0.0002118660346900978,-6.118416755497472e-11
